"id","serie","number","title"
"38333","Suske En Wiske Reclame ","0"," Het Mopperende Masker"
"38334","Eppo ","1980","22"
"38335","Suske En Wiske Weekblad ","1997","15"
"38336","Korak De Zoon Van Tarzan ","31"," De Ridders Van Tandika"
"38337","Robbedoes Weekblad ","2003","3394"
"38338","Donald Duck ","2009","19"
"38339","Bakelandt ","63"," Mensenjacht"
"38340","Johnny Goodbye ","9"," Het Ananassyndicaat"
"38341","De Koningsstrijders ","2"," Het Teken Van De Grote Beer"
"38342","Donald Duck ","1999","44"
"38343","Robbedoes Weekblad ","1998","3148"
"38344","De Stripspeciaalzaak ","10"," Nummer 10"
"38345","Penny ","1981","4"
"38346","Het Pad Van De Schimmen ","2"," Drie Graven"
"38347","Kabouter Plop ","4"," Plop En Kwispel"
"38348","Maarten Milaan ","11"," Rozalientje Uit Mijn Kinderjaren"
"38349","Thriller Magazine ","1"," Magazine 01 Cinder & Ashe"
"38350","Sundance ","3"," Het Rijk Van De Alligator"
"38351","Joop Klepzeiker "," TA02 "," Honden 1 Special"
"38352","De Avonturen Van Kapitein Rob ","43"," De Zweftocht Van De Havik (1958)"
"38353","Eppo Wordt Vervolgd ","1988","8"
"38354","Donald Duck ","1955","31"
"38355","Donald Duck ","2004","17"
"38356","Orinoco ","2"," Cove�ro"
"38357","Mickey Maandblad ","1981","4"
"38358","De Avonturen Van Urbanus ","103"," De Sneeuwpretvedette"
"38359","Navy ","9"," Verblind Door Haat"
"38360","Donald Duck ","1970","23"
"38361","De Kleine Robbe "," R02 "," Dag, Dokter!"
"38362","LeFranc ","1"," Het Sein Staat Op Rood"
"38363","Suske En Wiske HQ ","308"," De Gamegoeroe"
"38364","Rooie Oortjes Magazine ","40"," Deel 40"
"38365","Sjors ","1969","50"
"38366","Rubine ","3"," De Tweede Getuige"
"38367","Losstaande Albums Van Jacques Tardi ","23"," De Sluipschutter"
"38368","Monki ","7"," Monki In Artis"
"38369","Zonneland ","1955"," 36 (Incompleet)"
"38370","Lasso ","244"," De Val Slaat Dicht"
"38371","Labyrinten ","4"," De Meesters Van De Agartha"
"38372","De Campbells ","1"," Inferno"
"38373","Lucifera ","13"," De Teutoonse Ridders"
"38374","Trollen van Troy ","17"," Het Huwelijk van Waha"
"38375","Tristan ","1"," De Magi�r Van Branberry"
"38376","Batman Classics ","45"," Het Spook Waarde Rond!"
"38377","Felix ","5"," De Spokendoder"
"38378","Robbedoes Weekblad ","2000","3225"
"38379","Noortje ","7"," Altijd Uitgelaten"
"38380","Dokus De Leerling ","15"," Er Hangt Vakantie In De Lucht"
"38381","Jessica Blandy ","14"," Cuba!"
"38382","Robbedoes Weekblad ","1984","2433"
"38383","Robbedoes Weekblad ","1963","1327"
"38384","Strips Uit Brazili� ","1"," Strips Uit Brazili�"
"38385","Dragonball ","9"," De Beslissing (RAW)"
"38386","De Rose Panter "," A047 "," De Rose Verstekeling"
"38387","Donald Duck ","1990","4"
"38388","Een Avontuur Van Jacques Gallard ","2"," De Dans Van De Drie Pionnen"
"38389","Kuifje Weekblad ","1969","45"
"38390","Griezel Classics ","43"," Zeg Het Met Bloemen!"
"38391","Sjors ","1956","22"
"38392","Nils Holgersson ","18"," Smirre Zet Een Lelijke Val"
"38393","Sjors ","1967","4"
"38394","De Tranen Van De Duivel ","2"," De Rooie"
"38395","Jommeke "," K02 "," Jommekes Spelletjesboek 2 (1998)"
"38396","Robbedoes Weekblad ","1996","3051"
"38397","Nick Pionier Van Het Heelal "," A16 "," Ontvoerd"
"38398","Atlantis ","3"," Mormo"
"38399","Tarzan (Metropolis) "," A13 "," Vervolging"
"38400","Acqua Alta ","1"," Deel 1"
"38401","Korak De Zoon Van Tarzan ","46"," Korak's Dubbelganger"
"38402","Alleen Op De Wereld "," A02 "," Het Gestolen Halssnoer"
"38403","De Rose Panter "," A048 "," De Rose Gevangene + De Rose Rustverstoorder + De Rose Kwakzalver"
"38404","Eppo ","1977","8"
"38405","Robbedoes Weekblad ","1961"," 1202 (NL)"
"38406","Michel Vaillant ","31"," De Jonge Wolven"
"38407","Wild West (Classics) ","16"," De Gehate Vijand"
"38408","Peter Parker, De Spectaculaire Spiderman ","60"," De Zondebok"
"38409","Rembrandt Van Rijn ","1"," Rembrandt"
"38410","Jerom "," J19 "," De Boze Broeders"
"38411","Lekker Lachen ","34"," Nummer 34"
"38412","Tom & Jerry (De Vrijbuiter) "," A062 "," Nummer 62"
"38413","Losstaande Albums Van Milo Manara ","3"," Candid Camera"
"38414","Donald Duck Pocket S2 ","17"," In Het Oude China"
"38415","Donald Duck ","1968","18"
"38416","Pol ","14"," Pol In De Bergen"
"38417","Toppers In Strip ","55"," Tom Sawyer Op Wereldreis"
"38418","Kiekeboe ","132"," Alle Eendjes (Andere scan)"
"38419","De Vergelders Pocket ","2"," Deel 02"
"38420","De Snorkels ","3"," Scheepsjongen In Gevaar"
"38421","Kiekeboe ","139"," Zonder Vuur"
"38422","Suske En Wiske ","290"," De Blikken Blutser + Het Mopperende Masker"
"38423","Heathcliff ","2"," Heathcliff's Pretwinkel 2"
"38424","Sjors En Sjimmie Stripblad ","1991","17"
"38425","Haagse Harry ","2"," Niet Te W�nag!!"
"38426","Marvel Superhelden ","44"," Atlantis Attacks 5 Dagje Naar De Zee"
"38427","Kuifje Weekblad ","1952","39"
"38428","Penny Plus ","2010"," 04 (Mist Mega Poster)"
"38429","Tom & Jerry (Tijdschrift) ","2015","6"
"38430","Dino's ","1"," Deel 01"
"38431","De Generaal ","7"," De Erfenis Van Oom Jules"
"38432","Freaks School ","2"," Vreemde Universiteit 2"
"38433","Ciso Stripgids ","20"," Kamagurka Ruikt Hier Onzin"
"38434","De Geverniste Vernepelingskes ","4"," Deel 4"
"38435","Donald Duck Extra "," 2004 06 "," De Grote Treinroof"
"38436","Jommeke ","28"," De Samsons"
"38437","Dennis (Semic Press) "," F70 "," Dennis Doet Zaken"
"38438","Jommeke ","139"," De Blauwe Grot"
"38439","Eppo Wordt Vervolgd ","1987","40"
"38440","Liberty ","4"," Dood & Belastingen"
"38441","Ars�ne Lupin ","2"," 813 Deel 1 Het Dubbelleven"
"38442","Battle Chasers ","5"," Deel 05"
"38443","Tir Nan Og ","2"," De Nalatenschap"
"38444","Korak De Zoon Van Tarzan ","81"," De Vallei Der Grote Apen En Het Geheim Van De Pygmee�n"
"38445","Jommeke ","48"," De Zilveren Giraf (Kleur)"
"38446","Tina ","1981","22"
"38447","Paling En Ko ","49"," Het Vrouwtje Van De Melkweg"
"38448","Victoria ","106"," Voorwaarts... In De Dood!!"
"38449","Korak De Zoon Van Tarzan ","83"," Het Moeras Eiland (ic)"
"38450","De Erfenis Van Siska ","2"," De Triathlon Van Jacky"
"38451","Pep ","1969","30"
"38452","Chlorophyl ","12"," Chlorophyl En Het Gifeiland"
"38453","In De Gekleurde Omelet ","2"," In De Oranje Omelet"
"38454","Donald Duck ","1993","39"
"38455","Daniel Boone ","13"," De Spoorzoekers"
"38456","Alexis ","1"," Het Onvoorziene"
"38457","Kuifje Weekblad ","1970","22"
"38458","Zwarte Reeks ","63"," Een Beroerde Chantage"
"38459","Fantastic Four Special ","18"," Terug Bij Af"
"38460","Witte Nacht ","4"," Vladivostok"
"38461","Kramikske "," S01 "," Kerstvers"
"38462","Pep ","1966","45"
"38463","Robbedoes Weekblad ","1948","409"
"38464","Donald Duck ","1989","16"
"38465","Donald Duck ","2015","34"
"38466","High Security ","5"," De Schaduw Van Ezekiel Deel 01"
"38467","Het Jaar Van De Olifant ","3"," Ademnood"
"38468","Lex Brand ","22"," De Draak Van Oshiwa"
"38469","Donald Duck ","1956","22"
"38470","Laurel En Hardy "," A17 "," Vazen"
"38471","Barelli ","0"," Van De Regen In De Drup (Taptoe 1980)"
"38472","Dommel ","24"," Allemaal Kouwe Drukte"
"38473","Donald Duck ","1957","12"
"38474","Sjors En Sjimmie Extra ","1989","9"
"38475","Surcouf ","1"," Koning Der Kapers"
"38476","Lasso ","406"," Het Oog Van Manitu"
"38477","Tom & Jerry (De Vrijbuiter) "," A070 "," Nummer 70"
"38478","Donald Duck Pocket S2 ","33"," Oom Dagobert In Het Land Van Goud"
"38479","Kenya ","4"," Interventies"
"38480","Kuifje Weekblad ","1979","30"
"38481","Kuifje Weekblad ","1990","51"
"38482","Batman "," SP08 "," De Tien Nachten Van Het Beest"
"38483","De Wonderbaarlijke Spinneman ","32"," Spinneman Gezocht"
"38484","Kuifje "," F02 "," Kuifje En De Blauwe Sinaasappels"
"38485","Witchblade ","30"," Deel 30"
"38486","Rock Derby ","3"," Paniek In Het Paradijs"
"38487","Robbedoes Weekblad ","1954","766"
"38488","Pardon Lul ","4"," U Staat Op Mijn Hond.(je)"
"38489","Armagedon ","2"," Deel 02"
"38490","De Oneven Orde ","3"," Roma 1644"
"38491","Losstaande Albums Van Guido Van Driel ","7"," De Ondergang Van Amsterdam"
"38492","Victoria ","249"," Voorspel Van De Nederlaag"
"38493","Suus & Sas ","1"," Goed Bekeken"
"38494","Donald Duck ","1957","46"
"38495","Prins Valiant ","34"," De Stammenoorlog"
"38496","Asterix ","11"," Het Ijzeren Schild (2)"
"38497","Rik Ringers ","62"," Stripmoorden"
"38498","Robbedoes Weekblad ","1963","1334"
"38499","Donald Duck Extra "," 2013 07 "," De Wraak Van Zwarte Magica"
"38500","Robbedoes Weekblad ","1950","515"
"38501","Victoria ","408"," Zij Waren Vijanden"
"38502","Jommeke ","182"," Het Zingende Moeras"
"38503","Robin Hoed ","10"," Schotse Koehandel"
"38504","Jan, Jans En De Kinderen ","9"," Deel 09"
"38505","Lasso ","324"," Zeven Moorden"
"38506","Donald Duck ","2007","43"
"38507","Tom Poes Krantenstrips ","136"," Heer Bommel En Het Kongruwer"
"38508","Huon De Neveling "," A12 "," De Hanskatten"
"38509","Het Kunstbordeel ","2"," Mimi & Henri"
"38510","Robbie ","46"," Grote Bizon"
"38511","Jerome K. Jerome Bloks ","2"," De Papieren Droom"
"38512","Pablo ","3"," Matisse"
"38513","Eppo ","1980","11"
"38514","Biggles ","16"," Hawk Slaat Toe"
"38515","Disneyland ","1972","30"
"38516","Thorinth ","1"," De Gek Zonder Naam"
"38517","Jimmy Van Doren ","5"," Het Rijk Van De Luipaard"
"38518","Pep ","1964","11"
"38519","De Avonturen Van Nero En Co "," H01 "," Het Geheim Van Matsuoka (1961)"
"38520","Het Laatste Jungleboek ","1"," De Mens"
"38521","Superman Classics ","106"," Wie Is De Onbekende In De Telefooncel"
"38522","De Avonturen Van Kapitein Rob ","18"," Het Raadsel Van Venus (1951)"
"38523","Paper (Tijdschrift) ","2009","8"
"38524","Donald Duck ","2003","11"
"38525","Titanic Reeks ","19"," Betsy's Bedgenoten"
"38526","De Stripspeciaalzaak ","29"," Nummer 29"
"38527","Zodiak ","6"," De Terugweg"
"38528","Een Man Een Avontuur ","4"," De Man Van Zoeloeland"
"38529","Batman (RW) ","0"," No�l"
"38530","Verhalen En Legenden ","30"," Gauguin En Van Gogh"
"38531","Illustrated Classics ","139"," Het Halssnoer Van Hare Majesteit"
"38532","Op Zoek Naar De Tijdvogel ","1"," De Hoorn Van Ramor"
"38533","Falco En Donjon "," S02 "," Kokende Olie!"
"38534","Marvel Superhelden ","10"," Spiderman, Moon Knight, Powerman, Daredevil"
"38535","Donald Duck ","1987","21"
"38536","Kuifje Weekblad ","1978","4"
"38537","Sjors ","1963","13"
"38538","Lucky Luke ","1994","4"
"38539","Tom & Jerry (De Vrijbuiter) "," O21 "," Tom En Jerry Omnibus Nr 21"
"38540","Suske En Wiske HQ ","205"," De Kattige Kat"
"38541","Korak De Zoon Van Tarzan ","40"," Korak Wordt Als Slaaf Ingezet"
"38542","Kuifje Weekblad ","1962","51"
"38543","Suske En Wiske HQ ","156"," Beminde Barabas"
"38544","Suske En Wiske ","259"," Amber"
"38545","Donald Duck ","1977","14"
"38546","H.H.Holmes ","1"," Englewood"
"38547","Robbedoes Weekblad ","1960"," 1159 (Vlaams)"
"38548","Robbedoes Weekblad ","1975","1921"
"38549","Agent 327 "," S03 "," Dossier Minimum Bug (Groot)"
"38550","Mossad, Special Operations ","1"," De Mol Van Het Elysee"
"38551","Tina ","2010","47"
"38552","Debbie Stripstory ","1986","5"
"38553","Suske En Wiske Weekblad ","1996","33"
"38554","Donald Duck ","1970","2"
"38555","Losstaande Albums Van Fred De Heij "," 02a "," 'n Net Meisje"
"38556","Marsupilami ","4"," Stuifmeel Op De Monte Urticando"
"38557","Franka ","21"," Het Zilveren Vuur"
"38558","Prins Valiant ","19"," Duel In Ierland (Bewerkt)"
"38559","Mickey Maandblad ","1982","5"
"38560","Kuifje Weekblad ","1975","4"
"38561","Disneyland ","1973","46"
"38562","Pep ","1964","20"
"38563","Robbedoes Weekblad ","1979","2153"
"38564","Robbedoes Weekblad ","1956","867"
"38565","Pedro De Neusbeer ","3"," Pedro De Neusbeer 03"
"38566","Verzamelde Werken Van Moebius ","3"," The Long Tomorrow"
"38567","Stripschrift ","210"," Nummer 210"
"38568","Kuifje Weekblad ","1972","18"
"38569","Donald Duck ","2006","21"
"38570","Griezel Classics ","11"," Dode Vrienden"
"38571","Eppo ","2010","7"
"38572","Losstaande Albums Van Peter Van Straaten ","7"," Bij Ons In Het Dorp"
"38573","Robbedoes Weekblad ","1994","2910"
"38574","Sjors ","1974","14"
"38575","Sjors ","1938","23"
"38576","Tom Poes Krantenstrips ","68"," Heer Bommel En De Muzenis"
"38577","Kuifje Weekblad ","1957","16"
"38578","Chinees Rood ","3"," Zh�n Zheng"
"38579","De Avonturen Van Nero En Co ","94"," Kiwi De Kiwi"
"38580","Sjors En Sjimmie Stripblad ","1989","13"
"38581","Star Wars "," J17 "," De Omega Frost"
"38582","Bert & Frank ","1"," Schaften"
"38583","Donald Duck ","2001","29"
"38584","Spanningen Bij Het F.B.I. ","4"," De Vampiers Van New York"
"38585","Donjon Ochtendgloren ","98"," Nacht Brengt Onraad"
"38586","Donald Duck Pocket S3 ","183"," Spionnenjacht"
"38587","Donald Duck ","2006","18"
"38588","Het Kruis Van Cazenac ","1"," De Code"
"38589","Sigmund ","18"," Achttiende Sessie"
"38590","Kuifje Weekblad ","1955","21"
"38591","Pep ","1971","25"
"38592","Donald Duck ","1980","51"
"38593","Donald Duck ","1974","49"
"38594","Victoria ","72"," Vlucht Naar De Vrijheid"
"38595","Donald Duck ","1955","32"
"38596","Boes "," B02 "," Kippevel"
"38597","Tarzan (Classics) ","199"," Het Onzichtbare Vuur"
"38598","Tibor, Zoon Van Het Oerwoud ","71"," In Bescherming Van De Toverkracht Van Vuur"
"38599","De Killer ","4"," Bloedlink"
"38600","Anita ","1979","13"
"38601","Kuifje Weekblad ","1965","4"
"38602","Woody Woodpecker (Semic Press) ","15"," Woody Speelt Voor Detective"
"38603","Nachtelijk Rood ","2"," Zephyr"
"38604","Jonne ","2"," De Gouden Kris (Andere scan)"
"38605","De Blauwbloezen ","54"," Miss Walker"
"38606","Victoria "," M429 "," Het Strafbataljon"
"38607","Sheriff Classics ","29"," Kid Colt ...En De Vervelende Tiener"
"38608","Laurel En Hardy "," F35 "," Nummer 35"
"38609","Pep ","1964","7"
"38610","Korak De Zoon Van Tarzan "," A05 "," Aanval Van De Vogelmannen + De Stad Der Verschrikking + Vurige Wraak"
"38611","Ouwe Niek ","14"," In Dienst Van De Koning"
"38612","De Rose Panter "," A067 "," Het Rose Experiment"
"38613","Pep ","1965","22"
"38614","Dallas Barr ","7"," De Laatste Wals"
"38615","Rourke ","1"," Een Mooie Dood"
"38616","Klaartje Bij Nacht "," A01 "," Het Beste Van Klaartje Bij Nacht"
"38617","Suske En Wiske Weekblad ","1996","36"
"38618","Kuifje Weekblad ","1952","48"
"38619","Wipperoen ","3"," Wipperoen En De Wonderschelp"
"38620","Sheriff King ","2"," De Gestolen Huifkar"
"38621","Sjors ","1975","20"
"38622","101 Dalmatiners ","1"," 101 Dalmatiners"
"38623","TV2000 ","1967","22"
"38624","Boris Karloff ","6"," De Hand Van De Wurger"
"38625","Bessy Natuurkommando "," S01 "," Chiquita"
"38626","Linke Loetje "," P01 "," Pocket 01"
"38627","Losstaande Albums Van Javier Mariscal ","1"," Chico & Rita"
"38628","Anita ","1982","50"
"38629","Sigurd "," B10 "," In De Dwaaltuin Van De Dood"
"38630","Jan, Jans En De Huisdieren "," A06 "," Week Van Het Huisdier 2010"
"38631","Donald Duck ","1983","49"
"38632","Filmstrips ","31"," Mulan"
"38633","Robbedoes Weekblad ","1951","573"
"38634","Robbedoes Weekblad ","1962","1265"
"38635","Superman (Baldakijn) ","20"," De Man Die President Wilde Worden!"
"38636","NSA ","1"," Het Orakel"
"38637","Donald Duck ","1955","10"
"38638","Mickey Maandblad ","1987","10"
"38639","Guust Flater "," N01 "," Flaters Archief"
"38640","Horatio Altuna ","0"," Handige Jongen"
"38641","Akim Held Van De Jungle ","52"," De Wilde Katu"
"38642","Bulletje En Boonestaak "," B01 "," De Wereldreis Van Bulletje En Boonestaak 1"
"38643","Eppo ","1978"," 42a (Hoempa Pa miniboekje 2)"
"38644","Watchmen ","1"," Deel 01"
"38645","Donald Duck ","2002","41"
"38646","Julie, Klaartje, C�cile ","6"," Wanneer Is Het Vakantie"
"38647","Kuifje Weekblad ","1987","7"
"38648","Suske En Wiske Weekblad ","1994","40"
"38649","XIII "," S01 "," Valstrikken En Liefdesbeetjes"
"38650","Kramikske "," A17 "," De Bonte Beertjes"
"38651","Robbedoes Weekblad ","1953","683"
"38652","Woody Woodpecker (Classics) ","1"," Hakkie Specht, Woody Woodpecker Album Nr 1"
"38653","De Verbijsterende Hulk Album ","7"," Jager Op Groot Wild"
"38654","De Avonturen Van Bassie En Adriaan ","2"," De Ontvoering"
"38655","Robert En Bertrand ","70"," De Hel Van Montparnasse"
"38656","Mega Stripboeken "," 01a "," Mega Stripboek 1997"
"38657","Rik Ringers ","22"," Het Boze Drietal"
"38658","Donald Duck ","2005","32"
"38659","Dylan Dog "," A01 "," Er Was Eens"
"38660","Piet Pienter En Bert Bibber ","43"," Intermezzo In Hamaj'Oewait"
"38661","Pantser ","123"," In De Klauwen Van De Dood"
"38662","Strijd Classics ","11148"," De Verrader"
"38663","Kuifje Weekblad ","1957","44"
"38664","Asterix ","21"," Het Geschenk Van Caesar (2)"
"38665","Geronimo Stilton ","11"," Een Muis Op De Maan"
"38666","Kuifje Weekblad ","1949","33"
"38667","Penny ","2009","11"
"38668","Fix En Fox ","1961","16"
"38669","Robbedoes Weekblad ","1999","3179"
"38670","Kuifje Weekblad ","1980","38"
"38671","Kuifje Weekblad ","1958","12"
"38672","Extra Donald Duck "," 2015 01 "," Viking Special"
"38673","Donald Duck ","2009","35"
"38674","Yalek ","7"," Het Teken Van Lucifer"
"38675","Trigi�, The Collection ","3"," Slag Om Trigopolis"
"38676","Luitenant Blueberry ","1"," Fort Navajo"
"38677","Robbedoes Weekblad ","1976"," 2017 (Verkleind)"
"38678","Batman ","3"," De Ogen Bedrogen (Bewerkt)"
"38679","Marvel Superhelden "," O01 "," Omnibus 6 (32, 33 & 34)"
"38680","Sjors ","1964","48"
"38681","Donald Duck ","1956","39"
"38682","Losstaande Albums Van Vazquez ","1"," De Schimmige Zaken Van Sebastiaan"
"38683","Sundance ","4"," Waar De Duivelswind Blaast"
"38684","Stripschrift ","321"," Nummer 321"
"38685","Donald Duck ","1994","24"
"38686","Star Wars door Jeffrey Brown ","2"," Vaders kleine Prinses"
"38687","Pep ","1962","2"
"38688","Pumby (Tijdschrift) ","1970","106"
"38689","De Grappen Van Lambik "," S05 "," Mini Album"
"38690","De Duistere Steden ","15"," Herinneringen Aan Het Eeuwige Heden"
"38691","Tarzan (Metropolis) ","51"," Verstopte Wapens"
"38692","Sjors ","1973","38"
"38693","Bibi's Vertellingen ","2"," De Jacht Op De Gouden Knorrepot"
"38694","IAN ","1"," De Elektrische Aap"
"38695","Anita ","1979","16"
"38696","Hispa�ola ","4"," De Erfgenamen"
"38697","Motor Boys ","5"," Deel 05"
"38698","Pep ","1972","23"
"38699","Donald Duck ","1989","13"
"38700","Illustrated Classics ","191"," De Zeven Veroordeelden"
"38701","Black Stone ","2"," New York"
"38702","Superman (Baldakijn) ","35"," De Dodelijke Darkseid + De Redder"
"38703","Donald Duck ","2004","10"
"38704","Robbedoes Weekblad ","1956","851"
"38705","Lucifera ","80"," De Brandstapel"
"38706","Laurel En Hardy "," F28 "," Nummer 28"
"38707","Kuifje Weekblad ","1978","34"
"38708","Donald Duck ","1965","10"
"38709","Paling En Ko "," O01 "," Twee Agenten Met Fratsen"
"38710","Strip Krant ","7"," Nummer 7"
"38711","Robbedoes Weekblad ","1964","1355"
"38712","Trompie ","21"," Toverkunsten"
"38713","Suus & Sas ","5"," Zzzzeur Meyer"
"38714","Robbedoes Weekblad ","1968","1587"
"38715","Donald Duck ","1979","20"
"38716","Donald Duck Dubbelpocket Extra ","17"," Toppers In Duckstad"
"38717","Sjors ","1965","3"
"38718","De Stamgasten ","7"," Lam"
"38719","Kuifje Weekblad ","1957","36"
"38720","Donald Duck ","1973","1"
"38721","De Wonderbaarlijke Spinneman ","75"," De Snode Plannen Van De Ontwrichter"
"38722","Kenya ","2"," Ontmoetingen"
"38723","Tarzan (Classics) ","168"," Een Bende Bankroofsters"
"38724","Robbedoes Weekblad ","1986","2513"
"38725","Heinz "," B01 "," Heinz"
"38726","Incognito Reeks ","11"," Memoria"
"38727","Robbedoes Weekblad ","1980","2203"
"38728","Insiders Genesis ","3"," Miami's Fever"
"38729","Kuifje Weekblad ","1992","43"
"38730","Wereld In Beeld ","13"," Spoken"
"38731","Piet Pienter En Bert Bibber ","24"," Invasie Uit Het Heelal"
"38732","Wickie ","48"," Goudkoorts In Flake"
"38733","Kuifje Weekblad ","1988","15"
"38734","Jommeke ","135"," De Kruik Van Aztrakan"
"38735","Robbedoes Weekblad ","1967","1520"
"38736","De Wegen Van De Heer ","2"," 1119 De Militie Van Christus"
"38737","Het Meisje En De Wind ","2"," Win"
"38738","Oberon Strips "," A32 "," Huckleberry Finns Avonturen Deel 1"
